Survived,Pclass,Sex,Ticket,Fare,Embarked
0,3,male,347082,31.275,S
0,3,male,347060,7.775,S
0,3,female,2678,15.2458,C
1,1,female,PC 17592,39.4,S
0,2,female,244252,26,S
1,3,female,392091,9.35,S
1,1,female,36928,164.8667,S
1,1,male,113055,26.55,S
1,3,female,2666,19.2583,C
0,3,male,2629,7.2292,C
0,3,male,350026,14.1083,S
0,2,male,28134,11.5,S
1,1,female,17466,25.9292,S
0,3,female,CA. 2343,69.55,S
0,2,male,233866,13,S
1,2,female,236852,13,S
1,2,female,SC/PARIS 2149,13.8583,C
0,1,male,PC 17590,50.4958,S
0,3,male,345777,9.5,S
1,3,male,347742,11.1333,S
0,3,male,349248,7.8958,S
1,1,female,11751,52.5542,S
0,1,male,695,5,S
0,3,male,345765,9,S
1,2,female,P/PP 3381,24,C
1,3,female,2667,7.225,C
0,3,male,7534,9.8458,S
0,3,male,349212,7.8958,S
0,3,male,349217,7.8958,S
1,1,female,11767,83.1583,C
1,2,female,230433,26,S
0,3,male,349257,7.8958,S
0,3,female,7552,10.5167,S
0,2,male,C.A./SOTON 34068,10.5,S
0,3,male,SOTON/OQ 392076,7.05,S
0,3,female,382652,29.125,Q
0,2,male,211536,13,S
1,1,female,112053,30,S
0,3,female,W./C. 6607,23.45,S
1,1,male,111369,30,C
0,3,male,370376,7.75,Q
